Institucion,Promedio,Minima,Maxima,Desviación,Moda,Tipo,Familia
EVO,1.95,1.79,2.6,0.14,1.95,Credito,Agencias de viajes
Mifel,2.12,1.6,2.8,0.44,1.68,Credito,Agencias de viajes
Dlocal,2.15,2.15,2.15,0.0,2.15,Credito,Agencias de viajes
Getnet,2.19,1.76,3.5,0.28,2.13,Credito,Agencias de viajes
Afirme,2.25,1.6,3.9,0.33,2.4,Credito,Agencias de viajes
Banorte,2.25,1.58,2.8,0.32,2.0,Credito,Agencias de viajes
BBVA Bancomer,2.27,1.58,2.4,0.15,2.25,Credito,Agencias de viajes
Autofin,2.27,2.0,2.4,0.19,2.0,Credito,Agencias de viajes
Inbursa,2.32,1.78,2.6,0.1,2.34,Credito,Agencias de viajes
Adyen,2.32,2.25,2.45,0.12,2.25,Credito,Agencias de viajes
Banregio,2.35,1.6,3.13,0.61,3.13,Credito,Agencias de viajes
Multiva,2.38,1.75,2.82,0.45,2.75,Credito,Agencias de viajes
Fiserv,2.39,1.82,2.75,0.26,2.58,Credito,Agencias de viajes
Bansí,2.5,2.5,2.5,0.0,2.5,Credito,Agencias de viajes
Azteca,2.5,2.5,2.5,0.0,2.5,Credito,Agencias de viajes
Intercam Banco,2.54,2.1,2.95,0.33,2.4,Credito,Agencias de viajes
Bajío,2.55,1.58,4.0,0.52,2.9,Credito,Agencias de viajes
Bzpay,2.63,2.4,3.25,0.31,2.5,Credito,Agencias de viajes
Velpay,2.8,2.8,2.8,0.0,2.8,Credito,Agencias de viajes
Mercado Pago,3.21,1.8,3.5,0.31,2.99,Credito,Agencias de viajes
Espiral,3.21,2.99,3.5,0.26,2.99,Credito,Agencias de viajes
Paypal,3.25,2.15,3.65,0.48,3.42,Credito,Agencias de viajes
PayU Digicuenta,3.44,2.1,3.5,0.21,3.5,Credito,Agencias de viajes
Pocket,3.49,2.1,3.5,0.09,3.5,Credito,Agencias de viajes
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Credito,Agencias de viajes
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Credito,Agencias de viajes
Stripe,3.6,2.3,3.6,0.06,3.6,Credito,Agencias de viajes
Clip,3.6,2.9,3.6,0.0,3.6,Credito,Agencias de viajes
Adyen,2.17,1.78,2.55,0.21,2.0,Credito,Agregadores
Smart Payment,2.34,1.8,3.0,0.25,2.2,Credito,Agregadores
Fiserv,2.35,1.76,3.0,0.33,2.69,Credito,Agregadores
Bzpay,2.48,1.29,3.35,0.37,2.5,Credito,Agregadores
Velpay,2.48,1.8,3.4,0.37,2.5,Credito,Agregadores
Dlocal,2.6,2.0,3.4,0.49,2.6,Credito,Agregadores
Ebanx,2.62,2.0,3.43,0.39,2.88,Credito,Agregadores
Xaldo,2.64,2.35,2.9,0.23,2.7,Credito,Agregadores
Cyborgbeat,2.87,2.1,3.6,0.34,2.9,Credito,Agregadores
Adquira,2.97,1.83,2.99,0.11,2.99,Credito,Agregadores
OEL,2.99,1.9,3.7,0.47,3.6,Credito,Agregadores
MerIT,2.99,1.85,4.8,0.39,2.9,Credito,Agregadores
EMS,3.01,1.2,3.95,0.71,3.95,Credito,Agregadores
Pago Fácil,3.1,2.4,3.5,0.51,3.5,Credito,Agregadores
Sr. Pago,3.19,2.9,3.6,0.34,2.9,Credito,Agregadores
Mercado Pago,3.23,1.69,3.79,0.3,3.49,Credito,Agregadores
Espiral,3.24,2.99,3.5,0.26,2.99,Credito,Agregadores
PayU Digicuenta,3.47,1.8,3.5,0.16,3.5,Credito,Agregadores
Pocket,3.47,1.78,3.5,0.18,3.5,Credito,Agregadores
Paypal,3.49,1.76,3.95,0.08,3.5,Credito,Agregadores
Qiubo,3.5,3.5,3.5,0.0,3.5,Credito,Agregadores
Stripe,3.58,1.78,3.6,0.15,3.6,Credito,Agregadores
Clip,3.6,2.0,3.6,0.01,3.6,Credito,Agregadores
Afirme,1.88,1.7,2.4,0.13,1.8,Credito,Aseguradoras
Multiva,1.88,1.59,2.75,0.4,1.72,Credito,Aseguradoras
Autofin,1.93,1.8,2.0,0.12,2.0,Credito,Aseguradoras
Banorte,1.96,1.58,2.53,0.28,1.62,Credito,Aseguradoras
BBVA Bancomer,2.0,1.55,2.36,0.27,2.25,Credito,Aseguradoras
Fiserv,2.03,1.8,3.0,0.26,1.87,Credito,Aseguradoras
Getnet,2.06,1.55,3.5,0.23,2.19,Credito,Aseguradoras
EVO,2.07,1.76,2.4,0.21,1.96,Credito,Aseguradoras
Bajío,2.1,1.6,3.5,0.51,1.9,Credito,Aseguradoras
Inbursa,2.1,1.7,2.5,0.05,2.1,Credito,Aseguradoras
Banregio,2.14,1.64,2.8,0.49,2.8,Credito,Aseguradoras
Azteca,2.5,2.5,2.5,0.0,2.5,Credito,Aseguradoras
Mifel,2.7,2.5,2.8,0.17,2.8,Credito,Aseguradoras
Dlocal,3.2,3.2,3.2,0.0,3.2,Credito,Aseguradoras
Mercado Pago,3.21,1.82,3.5,0.31,2.99,Credito,Aseguradoras
Espiral,3.24,2.99,3.5,0.36,2.99,Credito,Aseguradoras
Paypal,3.26,2.78,3.65,0.34,3.02,Credito,Aseguradoras
PayU Digicuenta,3.49,3.0,3.5,0.08,3.5,Credito,Aseguradoras
Pocket,3.49,2.7,3.5,0.07,3.5,Credito,Aseguradoras
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Credito,Aseguradoras
Stripe,3.59,2.6,3.6,0.1,3.6,Credito,Aseguradoras
Clip,3.6,3.6,3.6,0.0,3.6,Credito,Aseguradoras
BBVA Bancomer,0.0,0.0,0.0,0.0,0.0,Credito,Beneficencia
Autofin,0.0,0.0,0.0,0.0,0.0,Credito,Beneficencia
Multiva,0.0,0.0,0.0,0.0,0.0,Credito,Beneficencia
Banregio,0.16,0.0,0.8,0.21,0.0,Credito,Beneficencia
Azteca,0.6,0.0,1.8,0.9,0.0,Credito,Beneficencia
Banorte,0.76,0.0,2.5,0.57,1.0,Credito,Beneficencia
Inbursa,0.86,0.1,2.04,0.72,0.36,Credito,Beneficencia
Afirme,0.92,0.0,2.3,1.01,0.0,Credito,Beneficencia
Mifel,1.0,0.0,2.8,0.92,1.85,Credito,Beneficencia
Bajío,1.23,0.01,2.0,0.72,2.0,Credito,Beneficencia
EVO,1.84,1.8,2.56,0.17,1.8,Credito,Beneficencia
Getnet,2.16,1.84,3.5,0.39,1.95,Credito,Beneficencia
Fiserv,2.31,1.8,2.65,0.29,2.25,Credito,Beneficencia
Bzpay,2.8,2.8,2.8,0.0,2.8,Credito,Beneficencia
Velpay,3.0,3.0,3.0,0.0,3.0,Credito,Beneficencia
Espiral,3.33,2.99,3.5,0.29,3.5,Credito,Beneficencia
Paypal,3.47,2.07,3.65,0.09,3.5,Credito,Beneficencia
PayU Digicuenta,3.47,2.2,3.5,0.18,3.5,Credito,Beneficencia
Pocket,3.48,2.2,3.5,0.14,3.5,Credito,Beneficencia
Stripe,3.6,2.75,3.6,0.03,3.6,Credito,Beneficencia
Clip,3.6,3.6,3.6,0.0,3.6,Credito,Beneficencia
Intercam Banco,1.3,1.3,1.3,0.0,1.3,Credito,Colegios y universidades
Multiva,1.68,1.15,2.38,0.42,1.85,Credito,Colegios y universidades
BBVA Bancomer,1.69,1.17,1.85,0.21,1.85,Credito,Colegios y universidades
Inbursa,1.71,1.21,1.8,0.14,1.8,Credito,Colegios y universidades
Banorte,1.74,1.12,2.25,0.29,1.55,Credito,Colegios y universidades
Mifel,1.8,1.15,2.8,0.4,1.75,Credito,Colegios y universidades
EVO,1.83,1.8,2.25,0.09,1.8,Credito,Colegios y universidades
Banregio,1.94,1.22,2.76,0.63,2.76,Credito,Colegios y universidades
Afirme,1.94,1.25,2.65,0.42,2.4,Credito,Colegios y universidades
Autofin,2.0,2.0,2.0,0.0,2.0,Credito,Colegios y universidades
Getnet,2.04,1.25,3.5,0.27,1.85,Credito,Colegios y universidades
Bajío,2.11,1.15,4.0,0.62,2.4,Credito,Colegios y universidades
Fiserv,2.12,1.77,2.9,0.2,2.1,Credito,Colegios y universidades
Azteca,2.32,1.54,2.5,0.32,2.5,Credito,Colegios y universidades
Bansí,2.33,2.0,2.5,0.29,2.5,Credito,Colegios y universidades
Velpay,2.34,2.34,2.34,0.0,2.34,Credito,Colegios y universidades
Pago Fácil,3.0,2.5,3.5,0.5,3.5,Credito,Colegios y universidades
Paypal,3.01,1.97,3.65,0.81,3.42,Credito,Colegios y universidades
Espiral,3.24,2.99,3.5,0.27,2.99,Credito,Colegios y universidades
OEL,3.4,3.4,3.4,0.0,3.4,Credito,Colegios y universidades
PayU Digicuenta,3.45,2.0,3.5,0.2,3.5,Credito,Colegios y universidades
Pocket,3.48,1.9,3.5,0.17,3.5,Credito,Colegios y universidades
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Credito,Colegios y universidades
Stripe,3.59,1.79,3.6,0.13,3.6,Credito,Colegios y universidades
Clip,3.6,3.0,3.6,0.0,3.6,Credito,Colegios y universidades
Afirme,1.91,1.2,2.65,0.38,1.9,Credito,Comida rápida
Banregio,1.92,1.2,2.9,0.61,1.3,Credito,Comida rápida
Mifel,2.0,1.17,2.8,0.41,2.5,Credito,Comida rápida
Intercam Banco,2.0,1.45,2.9,0.43,2.25,Credito,Comida rápida
Adyen,2.07,2.0,2.15,0.08,2.0,Credito,Comida rápida
Multiva,2.09,1.25,2.85,0.41,2.27,Credito,Comida rápida
EVO,2.1,1.77,3.03,0.15,2.18,Credito,Comida rápida
Banorte,2.12,1.17,3.11,0.38,1.99,Credito,Comida rápida
Getnet,2.13,1.3,3.5,0.33,2.0,Credito,Comida rápida
BBVA Bancomer,2.18,1.17,2.31,0.19,2.25,Credito,Comida rápida
Dlocal,2.2,2.2,2.2,0.0,2.2,Credito,Comida rápida
Smart Payment,2.22,1.95,2.4,0.12,2.2,Credito,Comida rápida
Bansí,2.25,2.2,2.5,0.12,2.2,Credito,Comida rápida
Fiserv,2.28,1.78,3.0,0.24,2.35,Credito,Comida rápida
Inbursa,2.33,1.28,2.45,0.23,2.45,Credito,Comida rápida
Autofin,2.37,1.17,2.8,0.51,2.25,Credito,Comida rápida
Bajío,2.38,1.2,4.0,0.55,2.9,Credito,Comida rápida
Bzpay,2.4,1.8,3.35,0.49,2.1,Credito,Comida rápida
Velpay,2.44,1.9,3.1,0.27,2.3,Credito,Comida rápida
Azteca,2.49,1.5,2.5,0.12,2.5,Credito,Comida rápida
OEL,2.99,1.9,3.6,0.53,3.6,Credito,Comida rápida
Paypal,3.13,3.13,3.13,0.0,3.13,Credito,Comida rápida
