Title,Link,Description,Type,Download,Card,File_name
Agencias de viajes,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B2975FA8C-1993-0703-8F9D-66B867693FDA%7D.pdf,Agencias de viajes. Agencias de viajes. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Afirme 2.25% 1.60% 3.90% 0.33% 2.40% Fiserv (5) 2.39% 1.82% 2.75% 0.26% 2.58% Espiral (9) 3.21% 2.99% 3.50% 0.26% 2.99% 1 .........1 EVO Méxi......,pdf,1,Credito,Descuento Credito Agencias de viajes.pdf
Agencias de viajes,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7BA889264D-B34C-E953-65FE-54A4323E4768%7D.pdf,Agencias de viajes. Agencias de viajes. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Autofin 1.71% 1.40% 2.00% 0.25% 1.40% Bzpay (5) 2.11% 1.73% 2.40% 0.30% 2.40% Velpay (9) 2.80% 2.80% 2.80% - 2.80% Clip (17) 3.6......,pdf,1,Debito,Descuento Debito Agencias de viajes.pdf
Agregadores,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B324F271D-A32B-DF00-D7B8-C76A0F7A068D%7D.pdf,Agregadores. Agregadores. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Bzpay (4) 2.48% 1.29% 3.35% 0.37% 2.50% OEL (11) 2.99% 1.90% 3.70% 0.47% 3.60% PayU Digicuenta (18) 3.47% 1.80% 3.50% 0.16% 3.50% 5 Velpay permite aceptar p......,pdf,1,Credito,Descuento Credito Agregadores.pdf
Agregadores,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7B26C0F4CD-F244-5486-EFD5-E0B212ACF2D3%7D.pdf,Agregadores. Agregadores. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Bzpay (4) 2.22% 1.15% 3.30% 0.47% 1.80% EMS (11) 2.92% 1.20% 3.95% 0.80% 3.95% Espiral (18) 3.24% 2.99% 3.50% 0.26% 2.99% 5 Velpay permite aceptar pago......,pdf,1,Debito,Descuento Debito Agregadores.pdf
Aseguradoras,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7BAB20322C-A9B2-477F-4FC9-D9D74E227242%7D.pdf,Aseguradoras. Aseguradoras. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Autofin 1.93% 1.80% 2.00% 0.12% 2.00% Bajío 2.10% 1.60% 3.50% 0.51% 1.90% Mercado Pago (5) 3.21% 1.82% 3.50% 0.31% 2.99% Stripe (11) 3.59% 2.60%......,pdf,1,Credito,Descuento Credito Aseguradoras.pdf
Aseguradoras,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7B327DD3A5-D1C5-F3B1-F5B6-49318EFBB89A%7D.pdf,Aseguradoras. Aseguradoras. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Mifel 1.56% 1.50% 2.50% 0.22% 1.50% Fiserv (3) 1.84% 1.60% 3.00% 0.34% 1.60% Dlocal (5) 3.20% 3.20% 3.20% - 3.20% Stripe (11) 3.59% 2.60% 3.......,pdf,1,Debito,Descuento Debito Aseguradoras.pdf
Beneficencia,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7BA593F220-CFD2-F7AF-D702-E4AB8CDF8806%7D.pdf,Beneficencia. Beneficencia. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Multiva - - - - - Mifel 1.00% - 2.80% 0.92% 1.85% Velpay (5) 3.00% 3.00% 3.00% - 3.00% Clip (11) ......,pdf,1,Credito,Descuento Credito Beneficencia.pdf
Beneficencia,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7BD8DC6624-D11A-A401-524A-271D0480A424%7D.pdf,Beneficencia. Beneficencia. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Multiva - - - - - Mifel 1.12% - 2.50% 0.91% 1.85% Velpay (5) 3.00% 3.00% 3.00% - 3.00% Clip (11) ......,pdf,1,Debito,Descuento Debito Beneficencia.pdf
Colegios y universidades,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7BB695A75F-C323-1198-94D4-DEBB4F8DF086%7D.pdf,Colegios y universidades. Colegios y universidades. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Inbursa 1.71% 1.21% 1.80% 0.14% 1.80% Getnet (2) 2.04% 1.25% 3.50% 0.27% 1.85% Paypal (6) 3.01% 1.97% 3.65% 0.81% 3.42% Clip (......,pdf,1,Credito,Descuento Credito Colegios y universidades.pdf
Colegios y universidades,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7BF210657E-06FE-1820-FB96-A24FEE720DDA%7D.pdf,Colegios y universidades. Colegios y universidades. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio BBVA Bancomer 1.28% 0.75% 1.35% 0.13% 1.35% Banregio 1.58% 0.85% 2.76% 0.59% 2.15% Paypal (6) 3.01% 1.97% 3.65% 0.81% 3.42% Clip ......,pdf,1,Debito,Descuento Debito Colegios y universidades.pdf
Comida rápida,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B746E1214-1599-1492-182B-CABCB9A70FB1%7D.pdf,Comida rápida. Comida rápida. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Adyen (1) 2.07% 2.00% 2.15% 0.08% 2.00% Bansí 2.25% 2.20% 2.50% 0.12% 2.20% OEL (9) 2.99% 1.90% 3.60% 0.53% 3.60% Clip (17) 3.60% 2.00......,pdf,1,Credito,Descuento Credito Comida rápida.pdf
Comida rápida,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7BD199305D-E019-C0B8-24C1-504641B298D1%7D.pdf,Comida rápida. Comida rápida. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Banregio 1.54% 0.76% 2.90% 0.60% 2.40% Intercam Banco 1.81% 1.00% 2.50% 0.43% 1.45% OEL (9) 2.95% 1.50% 3.60% 0.61% 3.60% Stripe (17) 3.60% 3......,pdf,1,Debito,Descuento Debito Comida rápida.pdf
Educación básica,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B8C5F1B31-63B6-A131-EB0C-69F873EE0205%7D.pdf,Educación básica. Educación básica. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Afirme 1.30% - 1.70% 0.48% 1.70% Bzpay (3) 2.16% 1.29% 3.30% 0.53% 2.20% Espiral (7) 3.28% 2.99% 3.50% 0.27% 3.50% Clip (14) 3.60......,pdf,1,Credito,Descuento Credito Educación básica.pdf
Educación básica,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7BDD0A3FF6-B9DB-7493-A2D8-D5972B65FBDD%7D.pdf,Educación básica. Educación básica. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio EVO (1) 1.33% 1.15% 2.50% 0.09% 1.30% Azteca 2.32% 1.80% 2.50% 0.26% 2.50% Paypal (10) 3.50% 1.92% 3.65% 0.07% 3.50% 5 EBANX ofrece plata......,pdf,1,Debito,Descuento Debito Educación básica.pdf
Entretenimiento,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B17D8F87C-91F5-1A8E-FAAC-3922FADD801F%7D.pdf,Entretenimiento. Entretenimiento. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Afirme 1.96% 1.19% 3.90% 0.40% 2.40% Fiserv (5) 2.28% 1.78% 3.00% 0.30% 2.50% Pago Fácil (12) 3.39% 3.00% 3.50% 0.22% 3.50% 3 EVO México ofrec......,pdf,1,Credito,Descuento Credito Entretenimiento.pdf
Entretenimiento,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7B1C255DEB-7E36-6B9C-C1C1-69F94D1BADF0%7D.pdf,Entretenimiento. Entretenimiento. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Afirme 1.58% 1.10% 3.15% 0.35% 1.80% Azteca 2.06% 1.38% 2.50% 0.41% 1.60% Pago Fácil (12) 3.39% 3.00% 3.50% 0.22% 3.50% 6 Bzpay acepta pagos c......,pdf,1,Debito,Descuento Debito Entretenimiento.pdf
Estacionamientos,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B66059E51-BA8F-AD18-0827-29BF44473289%7D.pdf,Estacionamientos. Estacionamientos. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio BBVA Bancomer 1.85% 1.35% 1.92% 0.17% 1.92% Inbursa 2.02% 1.57% 2.20% 0.26% 2.20% Azteca 2.50% 2.50% 2.50% - 2.50% Stripe (8) 3.60% 3.6......,pdf,1,Credito,Descuento Credito Estacionamientos.pdf
Estacionamientos,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7B3619A4AB-3013-9416-044F-67C1AB8D0C81%7D.pdf,Estacionamientos. Estacionamientos. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Multiva 1.46% 1.20% 1.95% 0.25% 1.35% Banorte 1.78% 1.30% 2.70% 0.29% 1.95% Bajío 2.39% 1.35% 3.40% 0.47% 2.40% Stripe (8) 3.60% 3.6......,pdf,1,Debito,Descuento Debito Estacionamientos.pdf
Farmacias,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B86A74746-A609-00A4-C589-03280FBE8662%7D.pdf,Farmacias. Farmacias. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Banregio 1.95% 1.32% 2.62% 0.50% 2.62% EVO (3) 2.24% 1.78% 3.00% 0.18% 2.23% Velpay (7) 3.00% 3.00% 3.00% - 3.00% Stripe (14) 3.60% 3.60% 3.60% ......,pdf,1,Credito,Descuento Credito Farmacias.pdf
Farmacias,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7B6A383634-B849-5A5E-DEFD-AD210FD83564%7D.pdf,Farmacias. Farmacias. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Multiva 1.58% 1.20% 2.02% 0.28% 1.35% Autofin 1.85% 1.50% 2.30% 0.36% 1.60% Pago Fácil (7) 2.90% 2.90% 2.90% - 2.90% Stripe (14) 3.60% 3.60% 3.6......,pdf,1,Debito,Descuento Debito Farmacias.pdf
Gasolineras,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B0FAE359C-D24E-4005-B699-51F36E992502%7D.pdf,Gasolineras. Gasolineras. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Mifel 1.21% 1.00% 2.50% 0.25% 1.00% Banregio 1.41% 1.00% 2.30% 0.45% 1.10% Azteca 2.15% 1.25% 2.50% 0.42% 2.50% 1 Fiserv ofrece servicios de pago mu......,pdf,1,Credito,Descuento Credito Gasolineras.pdf
Gasolineras,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7B04E01361-2FE3-8D17-C390-1079CEB5A9D1%7D.pdf,Gasolineras. Gasolineras. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio BBVA Bancomer 0.77% 0.45% 0.80% 0.06% 0.80% Bajío 1.03% 0.50% 3.80% 0.51% 0.55% Azteca 1.87% 0.90% 2.50% 0.57% 2.50% 1 EVO México ofrece servicios de ......,pdf,1,Debito,Descuento Debito Gasolineras.pdf
Gobierno,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B2837C285-2C9C-3161-331D-54F6D643B40A%7D.pdf,Gobierno. Gobierno. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Banorte 1.54% 1.03% 2.25% 0.27% 1.28% Getnet (2) 1.99% 1.16% 3.50% 0.28% 1.76% Velpay (6) 3.00% 3.00% 3.00% - 3.00% 1 .........1 EVO México ofrece servicios de p......,pdf,1,Credito,Descuento Credito Gobierno.pdf
Gobierno,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7BD052CA5D-4DCB-486A-F589-A5CB63B8B7AB%7D.pdf,Gobierno. Gobierno. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Banorte 1.15% 0.75% 1.95% 0.26% 1.01% Getnet (2) 1.34% 1.15% 3.50% 0.22% 1.21% Velpay (6) 3.00% 3.00% 3.00% - 3.00% 1 .........1 EVO México ofrece servicios de p......,pdf,1,Debito,Descuento Debito Gobierno.pdf
Hospitales,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B81B8ED7B-2442-87F5-1627-303A182B7006%7D.pdf,Hospitales. Hospitales. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Banjército 1.94% 1.80% 2.00% 0.09% 2.00% Multiva 2.11% 1.60% 2.97% 0.36% 1.95% Inbursa 2.31% 1.59% 2.44% 0.22% 2.44% Stripe (8) 3.60% 3.60% 3.60%......,pdf,1,Credito,Descuento Credito Hospitales.pdf
Hospitales,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-debito-por-gir/%7B1A32F370-220D-9D27-3DA4-C082A3FA0676%7D.pdf,Hospitales. Hospitales. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Multiva 1.60% 1.15% 2.17% 0.31% 1.35% Bansí 1.73% 1.25% 2.50% 0.60% 1.25% Fiserv (4) 1.98% 1.22% 3.00% 0.37% 2.11% Stripe (8) 3.60% 3.60% 3.60% ......,pdf,1,Debito,Descuento Debito Hospitales.pdf
Hoteles,https://www.banxico.org.mx/servicios/tasas-de-descuento-para-tarjetas-de-credito-por-gi/%7B4B7FCB63-8D2C-F86D-578D-130144A51CD5%7D.pdf,Hoteles. Hoteles. Tasas de descuento por giro de negocio. Tasas de descuento por giro de negocio Banjército 2.09% 1.75% 2.81% 0.42% 1.80% Inbursa 2.34% 1.61% 2.40% 0.13% 2.40% Autofin 2.60% 2.20% 3.01% 0.57% 3.01% Pago Fácil (12) 3.50% 3.50% 3.50% ......,pdf,1,Credito,Descuento Credito Hoteles.pdf
