Familia,Tipo,Institucion,Promedio,Minima,Maxima,Desviación,Moda
Agencias de viajes,Credito,EVO,1.95,1.79,2.6,0.14,1.95
Agencias de viajes,Credito,Mifel,2.12,1.6,2.8,0.44,1.68
Agencias de viajes,Credito,Dlocal,2.15,2.15,2.15,0.0,2.15
Agencias de viajes,Credito,Getnet,2.19,1.76,3.5,0.28,2.13
Agencias de viajes,Credito,Afirme,2.25,1.6,3.9,0.33,2.4
Agencias de viajes,Credito,Banorte,2.25,1.58,2.8,0.32,2.0
Agencias de viajes,Credito,BBVA Bancomer,2.27,1.58,2.4,0.15,2.25
Agencias de viajes,Credito,Autofin,2.27,2.0,2.4,0.19,2.0
Agencias de viajes,Credito,Inbursa,2.32,1.78,2.6,0.1,2.34
Agencias de viajes,Credito,Adyen,2.32,2.25,2.45,0.12,2.25
Agencias de viajes,Credito,Banregio,2.35,1.6,3.13,0.61,3.13
Agencias de viajes,Credito,Multiva,2.38,1.75,2.82,0.45,2.75
Agencias de viajes,Credito,Fiserv,2.39,1.82,2.75,0.26,2.58
Agencias de viajes,Credito,Bansí,2.5,2.5,2.5,0.0,2.5
Agencias de viajes,Credito,Azteca,2.5,2.5,2.5,0.0,2.5
Agencias de viajes,Credito,Intercam Banco,2.54,2.1,2.95,0.33,2.4
Agencias de viajes,Credito,Bajío,2.55,1.58,4.0,0.52,2.9
Agencias de viajes,Credito,Bzpay,2.63,2.4,3.25,0.31,2.5
Agencias de viajes,Credito,Velpay,2.8,2.8,2.8,0.0,2.8
Agencias de viajes,Credito,Mercado Pago,3.21,1.8,3.5,0.31,2.99
Agencias de viajes,Credito,Espiral,3.21,2.99,3.5,0.26,2.99
Agencias de viajes,Credito,Paypal,3.25,2.15,3.65,0.48,3.42
Agencias de viajes,Credito,PayU Digicuenta,3.44,2.1,3.5,0.21,3.5
Agencias de viajes,Credito,Pocket,3.49,2.1,3.5,0.09,3.5
Agencias de viajes,Credito,Pago Fácil,3.5,3.5,3.5,0.0,3.5
Agencias de viajes,Credito,Sr. Pago,3.5,3.5,3.5,0.0,3.5
Agencias de viajes,Credito,Stripe,3.6,2.3,3.6,0.06,3.6
Agencias de viajes,Credito,Clip,3.6,2.9,3.6,0.0,3.6
Agencias de viajes,Debito,EVO,1.33,1.15,2.0,0.19,1.2
Agencias de viajes,Debito,Inbursa,1.52,1.15,1.92,0.1,1.49
Agencias de viajes,Debito,BBVA Bancomer,1.62,1.1,1.7,0.15,1.7
Agencias de viajes,Debito,Banorte,1.66,1.1,2.3,0.32,2.0
Agencias de viajes,Debito,Autofin,1.71,1.4,2.0,0.25,1.4
Agencias de viajes,Debito,Getnet,1.73,1.15,3.5,0.37,1.53
Agencias de viajes,Debito,Mifel,1.83,1.2,2.5,0.53,1.24
Agencias de viajes,Debito,Afirme,1.86,1.1,3.15,0.29,1.8
Agencias de viajes,Debito,Multiva,1.87,1.4,2.12,0.26,2.12
Agencias de viajes,Debito,Adyen,1.88,1.7,2.25,0.26,1.7
Agencias de viajes,Debito,Ebanx,1.95,1.95,1.95,0.0,1.95
Agencias de viajes,Debito,Banregio,1.97,1.1,3.13,0.6,2.5
Agencias de viajes,Debito,Bzpay,2.11,1.73,2.4,0.3,2.4
Agencias de viajes,Debito,Dlocal,2.15,2.15,2.15,0.0,2.15
Agencias de viajes,Debito,Fiserv,2.16,1.3,2.75,0.32,2.21
Agencias de viajes,Debito,Intercam Banco,2.21,1.6,2.95,0.6,1.7
Agencias de viajes,Debito,Bajío,2.43,1.2,4.0,0.56,2.7
Agencias de viajes,Debito,Bansí,2.5,2.5,2.5,0.0,2.5
Agencias de viajes,Debito,Azteca,2.51,2.4,2.8,0.14,2.4
Agencias de viajes,Debito,Mercado Pago,2.74,1.25,3.5,0.83,1.69
Agencias de viajes,Debito,Velpay,2.8,2.8,2.8,0.0,2.8
Agencias de viajes,Debito,Espiral,3.21,2.99,3.5,0.26,2.99
Agencias de viajes,Debito,Paypal,3.25,2.15,3.65,0.48,3.42
Agencias de viajes,Debito,PayU Digicuenta,3.4,2.1,3.5,0.24,3.5
Agencias de viajes,Debito,Pocket,3.48,1.25,3.5,0.16,3.5
Agencias de viajes,Debito,Pago Fácil,3.5,3.5,3.5,0.0,3.5
Agencias de viajes,Debito,Sr. Pago,3.5,3.5,3.5,0.0,3.5
Agencias de viajes,Debito,Stripe,3.6,2.3,3.6,0.06,3.6
Agencias de viajes,Debito,Clip,3.6,2.9,3.6,0.0,3.6
Agregadores,Credito,Adyen,2.17,1.78,2.55,0.21,2.0
Agregadores,Credito,Smart Payment,2.34,1.8,3.0,0.25,2.2
Agregadores,Credito,Fiserv,2.35,1.76,3.0,0.33,2.69
Agregadores,Credito,Bzpay,2.48,1.29,3.35,0.37,2.5
Agregadores,Credito,Velpay,2.48,1.8,3.4,0.37,2.5
Agregadores,Credito,Dlocal,2.6,2.0,3.4,0.49,2.6
Agregadores,Credito,Ebanx,2.62,2.0,3.43,0.39,2.88
Agregadores,Credito,Xaldo,2.64,2.35,2.9,0.23,2.7
Agregadores,Credito,Cyborgbeat,2.87,2.1,3.6,0.34,2.9
Agregadores,Credito,Adquira,2.97,1.83,2.99,0.11,2.99
Agregadores,Credito,OEL,2.99,1.9,3.7,0.47,3.6
Agregadores,Credito,MerIT,2.99,1.85,4.8,0.39,2.9
Agregadores,Credito,EMS,3.01,1.2,3.95,0.71,3.95
Agregadores,Credito,Pago Fácil,3.1,2.4,3.5,0.51,3.5
Agregadores,Credito,Sr. Pago,3.19,2.9,3.6,0.34,2.9
Agregadores,Credito,Mercado Pago,3.23,1.69,3.79,0.3,3.49
Agregadores,Credito,Espiral,3.24,2.99,3.5,0.26,2.99
Agregadores,Credito,PayU Digicuenta,3.47,1.8,3.5,0.16,3.5
Agregadores,Credito,Pocket,3.47,1.78,3.5,0.18,3.5
Agregadores,Credito,Paypal,3.49,1.76,3.95,0.08,3.5
Agregadores,Credito,Qiubo,3.5,3.5,3.5,0.0,3.5
Agregadores,Credito,Stripe,3.58,1.78,3.6,0.15,3.6
Agregadores,Credito,Clip,3.6,2.0,3.6,0.01,3.6
Agregadores,Debito,Fiserv,1.93,1.15,3.0,0.45,2.25
Agregadores,Debito,Smart Payment,1.99,1.28,3.0,0.48,1.7
Agregadores,Debito,Adyen,2.15,1.3,2.55,0.29,2.0
Agregadores,Debito,Bzpay,2.22,1.15,3.3,0.47,1.8
Agregadores,Debito,Velpay,2.23,1.15,3.4,0.57,2.3
Agregadores,Debito,Dlocal,2.25,1.3,3.4,0.62,1.5
Agregadores,Debito,Ebanx,2.27,1.72,2.88,0.32,2.1
Agregadores,Debito,Xaldo,2.64,2.35,2.9,0.23,2.7
Agregadores,Debito,Cyborgbeat,2.85,1.9,3.6,0.34,2.9
Agregadores,Debito,Mercado Pago,2.91,1.2,3.79,0.75,3.49
Agregadores,Debito,EMS,2.92,1.2,3.95,0.8,3.95
Agregadores,Debito,OEL,2.95,1.45,3.7,0.55,3.6
Agregadores,Debito,Adquira,2.96,1.35,2.99,0.18,2.99
Agregadores,Debito,MerIT,2.99,1.8,4.8,0.39,2.9
Agregadores,Debito,Paypal,3.01,1.15,3.95,0.82,3.5
Agregadores,Debito,Pago Fácil,3.1,2.4,3.5,0.51,3.5
Agregadores,Debito,Sr. Pago,3.19,2.9,3.6,0.34,2.9
Agregadores,Debito,Espiral,3.24,2.99,3.5,0.26,2.99
Agregadores,Debito,Pocket,3.43,1.15,3.5,0.34,3.5
Agregadores,Debito,PayU Digicuenta,3.46,1.8,3.5,0.16,3.5
Agregadores,Debito,Qiubo,3.5,3.5,3.5,0.0,3.5
Agregadores,Debito,Stripe,3.58,1.2,3.6,0.15,3.6
Agregadores,Debito,Clip,3.6,2.0,3.6,0.01,3.6
Aseguradoras,Credito,Afirme,1.88,1.7,2.4,0.13,1.8
Aseguradoras,Credito,Multiva,1.88,1.59,2.75,0.4,1.72
Aseguradoras,Credito,Autofin,1.93,1.8,2.0,0.12,2.0
Aseguradoras,Credito,Banorte,1.96,1.58,2.53,0.28,1.62
Aseguradoras,Credito,BBVA Bancomer,2.0,1.55,2.36,0.27,2.25
Aseguradoras,Credito,Fiserv,2.03,1.8,3.0,0.26,1.87
Aseguradoras,Credito,Getnet,2.06,1.55,3.5,0.23,2.19
Aseguradoras,Credito,EVO,2.07,1.76,2.4,0.21,1.96
Aseguradoras,Credito,Bajío,2.1,1.6,3.5,0.51,1.9
Aseguradoras,Credito,Inbursa,2.1,1.7,2.5,0.05,2.1
Aseguradoras,Credito,Banregio,2.14,1.64,2.8,0.49,2.8
Aseguradoras,Credito,Azteca,2.5,2.5,2.5,0.0,2.5
Aseguradoras,Credito,Mifel,2.7,2.5,2.8,0.17,2.8
Aseguradoras,Credito,Dlocal,3.2,3.2,3.2,0.0,3.2
Aseguradoras,Credito,Mercado Pago,3.21,1.82,3.5,0.31,2.99
Aseguradoras,Credito,Espiral,3.24,2.99,3.5,0.36,2.99
Aseguradoras,Credito,Paypal,3.26,2.78,3.65,0.34,3.02
Aseguradoras,Credito,PayU Digicuenta,3.49,3.0,3.5,0.08,3.5
Aseguradoras,Credito,Pocket,3.49,2.7,3.5,0.07,3.5
Aseguradoras,Credito,Pago Fácil,3.5,3.5,3.5,0.0,3.5
